game,2023-07-07 14:00:00,2023-07-07 19:00:00,2023-07-07 21:00:00,2023-07-08 08:00:00,2023-07-08 10:00:00,2023-07-08 12:00:00,2023-07-14 14:00:00,2023-07-15 13:00:00,2023-07-16 09:00:00,2023-07-16 12:00:00,2023-07-16 21:00:00,2023-07-21 12:00:00,2023-07-21 15:00:00,2023-07-21 18:00:00,2023-07-21 21:00:00,2023-07-22 09:00:00,2023-07-22 12:00:00,2023-07-22 15:00:00,2023-07-22 21:00:00,2023-07-23 12:00:00,2023-07-23 15:00:00,2023-07-23 18:00:00,2023-07-23 21:00:00,2023-07-24 09:00:00,2023-07-24 12:00:00,2023-07-24 15:00:00,2023-07-24 18:00:00,2023-07-24 21:00:00
Super Smash Bros. Ultimate,,,,,,,,,,,8410.0,,,,,,,,6997.0,,,24236.0,,,,,,
The Mortuary Assistant,,,,,,,,,,,6753.0,,,,,,,,,,,,,,,,,
Punch Club 2: Fast Forward,,,,,,,,,,,,35074.0,30679.0,8261.0,13112.0,21554.0,3363.0,,,,,,,202.0,,,6871.0,
Tekken 8,,,,,,,,,,,,27980.0,16871.0,18202.0,11575.0,25066.0,,11820.0,9284.0,18571.0,5294.0,8246.0,7996.0,6115.0,,,,
Blue Archive,,,,,,,,,,,,9187.0,,,,,,,,9588.0,,,,,,,,
Pikmin 4,,,,,,,,,,,,7934.0,22016.0,20741.0,15954.0,,,8795.0,8538.0,,8489.0,8944.0,,,4462.0,5696.0,5901.0,
Cyphers,,,,,,,,,,,,7042.0,,,,,22458.0,16029.0,,4987.0,9443.0,11409.0,6660.0,,6400.0,11039.0,7294.0,
Unholy,,,,,,,,,,,,5248.0,5714.0,,,,,,,,,,,,,,,
The Elder Scrolls V: Skyrim - Special Edition,,,,,,,,,,,,4544.0,488.0,,,,,5691.0,,4746.0,6187.0,,,,,,,
My Friendly Neighborhood,,,,,,,,,,,,4498.0,,,,,,,7107.0,,,,,,,,,
The Legend of Heroes: Trails in the Sky SC,,,,,,,,,,,,4196.0,,,,,,,,,,,,,,,,
Ready or Not,,,,,,,,,,,,3749.0,,,,,,,,,,,,,,,,
Five Nights at Freddy's 4,,,,,,,,,,,,3406.0,,,,,,,,,,,,,,,,
Pokémon Scarlet/Violet,,,,,,,,,,,,,4410.0,,,,,,,,,,,,,,,
World of Warships,,,,,,,,,,,,,3982.0,,,,,,,,,,,,,,,
Counter-Strike 2,,,,,,,,,,,,,3562.0,,,,,,,,,,,,,,,
West Hunt,,,,,,,,,,,,,,8747.0,,,,,,,,,,,,,,
Green Hell,,,,,,,,,,,,,,8055.0,,,,,,,,,,,,,,
MAD WAY,,,,,,,,,,,,,,8655.0,,,,,,,,,,,,,,26752.0
The Crew: Motorfest,,,,,,,,,,,,,,7332.0,9833.0,,6370.0,,,,,,,10799.0,,,,
Stumble Guys,,,,,,,,,,,,,,,3895.0,,,,,,,,,,,,,
Park Beyond,,,,,,,,,,,,,,,37235.0,,,,,,,,,,,,,39983.0
Remnant II,,,,,,,,,,,,,,,35480.0,33223.0,34472.0,63597.0,75904.0,26166.0,43396.0,50372.0,47458.0,23767.0,21661.0,38002.0,53885.0,66215.0
Let's! Revolution!,,,,,,,,,,,,,,,6858.0,,,,,,,,,,,,,
Terminal 81,,,,,,,,,,,,,,,,13894.0,,,,,,,,,,,,
Brawl Stars,,,,,,,,,,,,,,,,12489.0,615.0,20404.0,,,,18427.0,13751.0,,,,,
Core Keeper,,,,,,,,,,,,,,,,12277.0,,,,,,,,,,,,
Crab Game,,,,,,,,,,,,,,,,5866.0,,,,,,,,,,,,
Dragon Quest V: Hand of the Heavenly Bride,,,,,,,,,,,,,,,,4958.0,5106.0,,,,,,,,,,,
All Elite Wrestling: Fight Forever,,,,,,,,,,,,,,,,4304.0,,,,,,8450.0,,,,,,
Snowbreak: Containment Zone,,,,,,,,,,,,,,,,,6076.0,,,,,,,,,,,
Legion TD 2,,,,,,,,,,,,,,,,,6178.0,12828.0,12981.0,3732.0,10395.0,10716.0,,3328.0,,,,
Metal Gear Solid 4: Guns of the Patriots,,,,,,,,,,,,,,,,,3610.0,,,,,,,,,,,
Perfect Heist 2,,,,,,,,,,,,,,,,,,11347.0,,,,,,,,,,
iRacing,,,,,,,,,,,,,,,,,,9877.0,8667.0,5892.0,,,,,,,,
Warface,,,,,,,,,,,,,,,,,,6343.0,,,,,,,,,,
Xenosaga Episode I: Der Wille zur Macht,,,,,,,,,,,,,,,,,,5360.0,,,,,,,,,,
The Outlast Trials,,,,,,,,,,,,,,,,,,,32149.0,,,,30654.0,,,,,
Ultimate Epic Battle Simulator 2,,,,,,,,,,,,,,,,,,,14639.0,,,,,,,,,
DC Dual Force,,,,,,,,,,,,,,,,,,,4631.0,,,,,,,,,
Uncharted 4: A Thief's End,,,,,,,,,,,,,,,,,,,4814.0,,,,,,,,,
Risk of Rain 2,,,,,,,,,,,,,,,,,,,,9637.0,,,,,,,,
Kartrider,,,,,,,,,,,,,,,,,,,,8526.0,,,,,,,,
Final Vendetta,,,,,,,,,,,,,,,,,,,,5557.0,,,,,,,,
Kingdom Rush Vengeance,,,,,,,,,,,,,,,,,,,,4975.0,,,,,,,,
League of Legends: Wild Rift,,,,,,,,,,,,,,,,,,,,3275.0,,,,,,,,
Viewfinder,,,,,,,,,,,,,,,,,,,,,10333.0,,,,,,,
Visage,,,,,,,,,,,,,,,,,,,,,8090.0,7972.0,,,,,,
FINAL FANTASY III,,,,,,,,,,,,,,,,,,,,,6620.0,,,,,,,
The Voyager,,,,,,,,,,,,,,,,,,,,,6180.0,,,,,,,
Insurgency: Sandstorm,,,,,,,,,,,,,,,,,,,,,5333.0,,,,,,,
Super Smash Bros. Melee,,,,,,,,,,,,,,,,,,,,,,8536.0,27968.0,,,,,
Makers & Crafting,,,,,,,,,,,,,,,,,,,,,,7735.0,,,,,,
The Sims 4,,,,,,,,,,,,,,,,,,,,,,6807.0,7510.0,,,,,
Starsiege: Deadzone,,,,,,,,,,,,,,,,,,,,,,,27030.0,,,,,
Warcraft III,,,,,,,,,,,,,,,,,,,,,,,19170.0,,,,,11821.0
Chester: Into the Light,,,,,,,,,,,,,,,,,,,,,,,8924.0,,,,,
Tibia,,,,,,,,,,,,,,,,,,,,,,,7273.0,,,,5439.0,
Fear & Hunger,,,,,,,,,,,,,,,,,,,,,,,,8842.0,9237.0,10473.0,,
Totally Accurate Battle Simulator,,,,,,,,,,,,,,,,,,,,,,,,4777.0,,,,
FINAL FANTASY VII,,,,,,,,,,,,,,,,,,,,,,,,3784.0,3163.0,,,
Red Dead Redemption 2,,,,,,,,,,,,,,,,,,,,,,,,3965.0,,3858.0,,
